Time,Demand,Temperature,Holiday
2012-01-01 01:00:00,4323.09535,21.225,True
2012-01-01 02:00:00,3963.264688,20.625,True
2012-01-01 03:00:00,3950.913495,20.325,True
2012-01-01 04:00:00,3627.860675,19.85,True
2012-01-01 05:00:00,3396.251676,19.025,True
2012-01-01 06:00:00,3317.99223,18.725,True
2012-01-01 07:00:00,3274.052232,18.675,True
2012-01-01 08:00:00,3432.4211219999997,19.65,True
2012-01-01 09:00:00,3650.038153,21.775,True
2012-01-01 10:00:00,4000.933475,24.65,True
2012-01-01 11:00:00,4329.049863,27.0,True
2012-01-01 12:00:00,4685.82048,29.65,True
2012-01-01 13:00:00,5009.4669969999995,31.65,True
2012-01-01 14:00:00,5270.116328,32.675,True
2012-01-01 15:00:00,5487.388289,32.3,True
2012-01-01 16:00:00,5689.246067,31.0,True
2012-01-01 17:00:00,5883.4665079999995,30.0,True
2012-01-01 18:00:00,6035.53124,30.975,True
2012-01-01 19:00:00,6043.968927,31.35,True
2012-01-01 20:00:00,5799.923228,28.675,True
2012-01-01 21:00:00,5462.652199,26.975,True
2012-01-01 22:00:00,5302.36217,25.325,True
2012-01-01 23:00:00,4860.374411000001,23.674999999999997,True
2012-01-02 00:00:00,4422.765949000001,21.975,True
2012-01-02 01:00:00,4265.9652129999995,21.5,True
2012-01-02 02:00:00,3825.128319,21.075,True
2012-01-02 03:00:00,3858.743655,20.625,True
2012-01-02 04:00:00,3545.74481,20.375,True
2012-01-02 05:00:00,3425.2743520000004,20.4,True
2012-01-02 06:00:00,3434.336671,20.825,True
2012-01-02 07:00:00,3530.4363350000003,21.674999999999997,True
2012-01-02 08:00:00,3841.520434,24.0,True
2012-01-02 09:00:00,4213.169379,27.575,True
2012-01-02 10:00:00,4732.831353,30.775,True
2012-01-02 11:00:00,5262.895338,32.825,True
2012-01-02 12:00:00,5786.043417,34.5,True
2012-01-02 13:00:00,6236.144167,36.725,True
2012-01-02 14:00:00,6562.215878,37.1,True
2012-01-02 15:00:00,6775.069775,37.400000000000006,True
2012-01-02 16:00:00,6998.368504,38.525,True
2012-01-02 17:00:00,7204.1739529999995,39.3,True
2012-01-02 18:00:00,7322.657013,39.525000000000006,True
2012-01-02 19:00:00,7234.792755,39.075,True
2012-01-02 20:00:00,6973.061132,37.875,True
2012-01-02 21:00:00,6628.257477,35.825,True
2012-01-02 22:00:00,6391.878694,34.025,True
2012-01-02 23:00:00,5765.486409,32.775,True
2012-01-03 00:00:00,5168.166765,32.25,True
2012-01-03 01:00:00,4958.406536,31.1,False
2012-01-03 02:00:00,4449.3704259999995,28.35,False
2012-01-03 03:00:00,4422.49949,26.125,False
2012-01-03 04:00:00,4027.543405,25.25,False
2012-01-03 05:00:00,3880.148671,24.775,False
2012-01-03 06:00:00,3957.0799049999996,23.75,False
2012-01-03 07:00:00,4268.581681,23.875,False
2012-01-03 08:00:00,4879.446053,25.125,False
2012-01-03 09:00:00,5458.749989,26.275,False
2012-01-03 10:00:00,6018.647209000001,26.049999999999997,False
2012-01-03 11:00:00,6378.705137,26.45,False
2012-01-03 12:00:00,6699.48654,26.425,False
2012-01-03 13:00:00,6948.331814,26.8,False
2012-01-03 14:00:00,7061.4425009999995,27.5,False
2012-01-03 15:00:00,7059.019306,28.825000000000003,False
2012-01-03 16:00:00,6970.401320999999,26.55,False
2012-01-03 17:00:00,6849.730006,26.9,False
2012-01-03 18:00:00,6662.918686,27.5,False
2012-01-03 19:00:00,6226.4318299999995,27.375,False
2012-01-03 20:00:00,5808.436936,26.975,False
2012-01-03 21:00:00,5545.778998,26.674999999999997,False
2012-01-03 22:00:00,5428.661372,26.0,False
2012-01-03 23:00:00,4991.610053,25.975,False
2012-01-04 00:00:00,4597.874829,25.7,False
2012-01-04 01:00:00,4552.910525,25.025,False
2012-01-04 02:00:00,4168.525104,24.675,False
2012-01-04 03:00:00,4223.520701,24.200000000000003,False
2012-01-04 04:00:00,3900.872337,23.674999999999997,False
2012-01-04 05:00:00,3820.653729,22.6,False
2012-01-04 06:00:00,3892.564404,21.375,False
2012-01-04 07:00:00,4226.30192,20.975,False
2012-01-04 08:00:00,4701.411845,19.675,False
2012-01-04 09:00:00,4909.18226,18.775,False
2012-01-04 10:00:00,5081.138518,19.225,False
2012-01-04 11:00:00,5150.459176,20.225,False
2012-01-04 12:00:00,5185.145366,21.5,False
2012-01-04 13:00:00,5200.493623,22.35,False
2012-01-04 14:00:00,5155.129080000001,22.2,False
2012-01-04 15:00:00,5168.087311,22.15,False
2012-01-04 16:00:00,5165.917569,21.75,False
2012-01-04 17:00:00,5203.108086,21.125,False
2012-01-04 18:00:00,5143.0574400000005,21.475,False
2012-01-04 19:00:00,4884.331566000001,21.075,False
2012-01-04 20:00:00,4616.446022,19.725,False
2012-01-04 21:00:00,4432.03776,18.525,False
2012-01-04 22:00:00,4446.476773,18.1,False
2012-01-04 23:00:00,4177.707961,17.225,False
2012-01-05 00:00:00,3965.6643910000003,16.35,False
2012-01-05 01:00:00,4044.605098,16.1,False
2012-01-05 02:00:00,3709.001873,15.65,False
2012-01-05 03:00:00,3794.91655,15.149999999999999,False
2012-01-05 04:00:00,3542.104265,14.95,False
2012-01-05 05:00:00,3460.490986,14.725000000000001,False
2012-01-05 06:00:00,3565.3370189999996,14.575,False
2012-01-05 07:00:00,3831.372084,14.9,False
2012-01-05 08:00:00,4265.274496,15.375,False
2012-01-05 09:00:00,4484.322382,16.15,False
2012-01-05 10:00:00,4688.990861,17.15,False
2012-01-05 11:00:00,4766.169911,18.325,False
2012-01-05 12:00:00,4843.4173200000005,19.450000000000003,False
2012-01-05 13:00:00,4906.141432,19.175,False
2012-01-05 14:00:00,4936.44158,19.875,False
2012-01-05 15:00:00,4955.296023999999,20.575,False
2012-01-05 16:00:00,4965.970685,21.125,False
2012-01-05 17:00:00,5022.001632,21.0,False
2012-01-05 18:00:00,5025.79954,20.35,False
2012-01-05 19:00:00,4848.41469,19.725,False
2012-01-05 20:00:00,4606.849672,18.1,False
2012-01-05 21:00:00,4455.850834,17.475,False
2012-01-05 22:00:00,4437.6031330000005,17.299999999999997,False
